id,sembol,tf,tarih,giris,giris_fiili,stop,t1,t2,son_fiyat,getiri_pct,durum,R,gun,mfe,mae,son_tarih,v
2026-06-22_AKENR_gunluk,AKENR,gunluk,2026-06-22,13.0,13.0,11.71,14.94,15.59,11.69,-10.08,STOP,-1.0,7,0.84,-1.02,2026-07-01,3
2026-06-25_GEREL_gunluk,GEREL,gunluk,2026-06-25,44.5,44.5,37.96,54.32,57.59,38.68,-13.08,STOP,-1.0,4,0.42,-1.43,2026-07-01,3
2026-06-18_GOKNR_gunluk,GOKNR,gunluk,2026-06-18,25.16,25.08,22.89,28.57,29.71,23.28,-7.18,DEAD,-0.82,10,0.91,-0.92,2026-07-02,3
2026-06-18_FONET_gunluk,FONET,gunluk,2026-06-18,5.5,5.48,5.05,6.18,6.4,5.18,-5.47,DEAD,-0.7,10,1.49,-0.7,2026-07-02,3
2026-06-18_GSDHO_gunluk,GSDHO,gunluk,2026-06-18,5.85,5.82,5.3,6.67,6.94,6.18,6.19,DEAD,0.69,10,1.0,-0.83,2026-07-02,3
2026-06-18_GMTAS_gunluk,GMTAS,gunluk,2026-06-18,45.62,44.5,40.59,53.16,55.68,46.24,3.91,DEAD,0.45,10,1.4,-0.24,2026-07-02,3
2026-06-26_GOODY_gunluk,GOODY,gunluk,2026-06-26,17.91,3.18,16.23,20.42,21.26,2.9,-8.81,GAP_IPTAL,0.0,0,0.0,0.0,2026-06-29,3
2026-06-30_ULUUN_gunluk,ULUUN,gunluk,2026-06-30,9.15,9.22,8.7,9.82,10.05,8.77,-4.88,STOP,-1.0,2,0.0,-1.0,2026-07-02,3
2026-06-19_MSGYO_haftalik,MSGYO,haftalik,2026-06-19,6.74,6.77,5.49,8.61,9.23,6.24,-7.83,DEAD,-0.41,10,0.27,-0.52,2026-07-03,3
2026-06-19_OYAYO_haftalik,OYAYO,haftalik,2026-06-19,52.7,52.5,44.65,64.78,68.8,49.06,-6.55,DEAD,-0.44,10,0.16,-0.68,2026-07-03,3
2026-06-19_PSGYO_haftalik,PSGYO,haftalik,2026-06-19,4.0,3.98,2.77,5.84,6.46,3.4,-14.57,DEAD,-0.48,10,0.23,-0.51,2026-07-03,3
2026-06-22_KBORU_gunluk,KBORU,gunluk,2026-06-22,25.42,26.0,23.56,28.21,29.14,26.9,3.46,DEAD,0.37,10,0.92,-0.87,2026-07-06,3
2026-06-22_KOPOL_gunluk,KOPOL,gunluk,2026-06-22,6.87,6.82,6.06,8.09,8.49,6.57,-3.67,DEAD,-0.33,10,1.12,-0.72,2026-07-06,3
2026-06-22_AYEN_gunluk,AYEN,gunluk,2026-06-22,38.6,39.1,34.85,44.23,46.11,33.64,-13.96,STOP,-1.0,10,0.42,-1.28,2026-07-06,3
2026-06-23_BRLSM_gunluk,BRLSM,gunluk,2026-06-23,20.4,20.9,17.75,24.37,25.69,17.53,-16.12,STOP,-1.0,10,0.35,-1.07,2026-07-07,3
2026-06-24_TATGD_gunluk,TATGD,gunluk,2026-06-24,19.61,19.65,18.46,21.33,21.9,18.45,-6.11,STOP,-1.0,9,1.0,-1.01,2026-07-07,3
2026-06-26_EUYO_haftalik,EUYO,haftalik,2026-06-26,5.81,5.81,5.04,6.97,7.36,5.25,-9.64,STOP,-1.0,7,0.23,-1.0,2026-07-07,3
2026-06-18_ASGYO_gunluk,ASGYO,gunluk,2026-06-18,11.9,11.9,11.24,12.9,13.23,11.96,0.5,TRAIL,0.94,14,2.35,-0.12,2026-07-08,3
2026-06-24_EDIP_gunluk,EDIP,gunluk,2026-06-24,38.0,38.26,35.54,41.69,42.92,38.5,0.63,DEAD,0.09,10,1.07,-0.87,2026-07-08,3
2026-06-24_ANGEN_gunluk,ANGEN,gunluk,2026-06-24,11.53,11.53,10.28,13.41,14.04,10.31,-10.58,DEAD,-0.98,10,0.61,-0.98,2026-07-08,3
